Title,Location,Bedrooms,Bathrooms,House Size,Description,Price
4 Bedroom House,Karen,4,4,2 100 m²,"Contemporary 4-Bedroom Villa for Rent in Karen – KES 350,000

Nestled in the serene and",KSh 350 000
4 Bedroom House,Karen,4,4,1 200 m²,"4 BEDROOM BUNGALOW TO LET IN KAREN

RENT	: KES 140,000


Discover the epitome of",KSh 140 000
2 Bedroom House,Karen,2,2,0.12 acres,"A beautiful 2 bedroom apartment located in Kerarapon.

This apartment has some of the",KSh 40 000
4 Bedroom House,Karen,4,4,2 100 m²,"4 Bedroom Villa To Let in Karen

Guide Rent Ksh 430,000/=

Features:

All ensuite",KSh 430 000
4 Bedroom House,Karen,4,4,0.5 acres,"Exclusive 4-Bedroom Bungalow with 2-Bedroom Guest House for Rent in Karen

Prime",KSh 250 000
3 Bedroom House,Karen,3,2,1 200 m²,"Charming Three-Bedroom Guest Wing for Rent – Karen, Kombe Road

Rent: KES 150,000/month",KSh 150 000
4 Bedroom House,Karen,4,4,0.5 acres,"4-Bedroom Bungalow for Rent in Karen

Rent: KSh 200,000/month

Location: Hardy, Karen –",KSh 200 000
6 Bedroom House,Kitisuru,6,6,0.5 acres,"6 Bedroom House to Rent in Kitisuru

This ambassadorial six bedrooms house is now",KSh 1 200 000
3 Bedroom House,Karen,3,2,1 200 m²,"3 BEDROOM BUNGALOW FOR RENT IN KAREN (100% SOLAR POWERED)


Rent 	: Kes.",KSh 70 000
4 Bedroom House,Runda,4,5,0.25 acres,"Runda
Modern Newly built 4 Bedrooms with Sq Villa To Let/Sale in the Leafy Suburbs of",KSh 325 000
4 Bedroom House,Kitisuru,4,5,0.8 acres,"Elegant 4-Bedroom Standalone House for Rent – Kitisuru
Price: $4,300 per month

Located",KSh 557 533
2 Bedroom House,Karen,2,2,1 200 m²,"2 BEDROOM BUNGALOW TO LET IN KAREN


RENT	: KES 100,000
SERVICE CHARGE : KES",KSh 110 000
4 Bedroom House,Karen,4,4,0.5 acres,"A magnificent four bedroom all ensuite house located in Miotoni, in a gated community. The",KSh 380 000
4 Bedroom House,Runda,4,4,0.18 acres,"A four bedroom  en-suite maisonette located in a serene environment in New Runda
 Living",KSh 230 000
4 Bedroom House,Loresho,4,4,0.5 acres,"A lovely 4 bedroom bungalow on 1/2 acre within a gated community, with lots of",KSh 370 000
5 Bedroom House,Kitisuru,5,5,0.5 acres,"5 Bed House with En Suite at Kitisuru

KITISURU

5-bedroom house with DSQ
Large living",KSh 580 000
4 Bedroom House,Karen,4,4,2 100 m²,"Beautiful 4-bedroom house with a 2 Staff quarters to let


Rent : Kes",KSh 550 000
3 Bedroom House,Karen,3,3,2 100 m²,"Charming Three-Bedroom Guest Wing for Rent – Karen, Kombe Road
?? Rent: KES 150,000/month",KSh 150 000
4 Bedroom House,Nyari,4,4,0.5 acres,A lovely 4 bedroom house sitting on half acre unit. Nestled in a gated community of,KSh 400 000
5 Bedroom House,Rosslyn,5,5,300 m²,"5 Bed House with En Suite in Rosslyn
Rent is 4500usd
Located in a peaceful, serene and",KSh 4 500
4 Bedroom House,Thigiri,4,4,0.5 acres,"Elegant 4-Bedroom Standalone Home in Thigiri – Ideal for Family Living
Rent",KSh 520 000
5 Bedroom House,Karen,5,5,2 100 m²,"Contemporary 5 Bedroom Villa for rent in Karen
Rent: Kes 650,000
Step into a rare",KSh 650 000
4 Bedroom House,Runda,4,4,0.5 acres,"LUXURIOUS FOUR BEDROOM ALL ENSUITE HOUSE FOR RENT IN RUNDA

Luxurious 4-Bedroom Ensuite",KSh 645 000
3 Bedroom House,Karen,3,3,2 100 m²,"3 Bedroom Bungalow.
A lovely, well built, house located in a serene and tranquil area. The",KSh 125 000
4 Bedroom House,Kitisuru,4,4,0.5 acres,An elegantly designed 4 bedroom house all rooms en-suite with DSQ and within a gated,KSh 350 000
3 Bedroom House,Karen,3,3,2 100 m²,"Charming 3-Bedroom Colonial Bungalow for Rent in Karen – KES 190,000
Nestled in the serene",KSh 190 000
4 Bedroom House,Karen,4,4,2 100 m²,"4-Bedroom Bungalow for Rent in Karen
Rent: KSh 200,000/month
Location: Hardy, Karen –",KSh 200 000
3 Bedroom House,Karen,3,3,1 200 m²,"THREE BEDROOM HOUSE IN KAREN


RENT	: KES 130,000


Three-bedroom house in a shared",KSh 130 000
4 Bedroom House,Karen,4,4,1 200 m²,"karen


Magnificent 4 bedroom rustic house plus a 2 bedroom guest wing to let in",KSh 450 000
2 Bedroom House,Karen,2,3,1 200 m²,"2 BEDROOM BUNGALOW FOR RENT IN KAREN
RENT	: KES 80,000

Love 2 bedroom bungalow in leafy",KSh 80 000
3 Bedroom House,Karen,3,3,2 100 m²,"Three-Bedroom Apartment for Rent – Karen (Hillcrest Area) | KES 100,000
Discover stylish",KSh 100 000
3 Bedroom House,Karen,3,3,1 200 m²,"3 BEDROOM BUNGALOW TO LET


RENT	: KES 80,000


This charming 3-bedroom bungalow is",KSh 80 000
3 Bedroom House,Karen,3,3,1 200 m²,"THREE BEDROOM HOUSE IN KAREN


RENT	: KES 130,000


Three-bedroom house in a shared",KSh 130 000
4 Bedroom House,Kiambu Road,4,5,500 m²,"Exceptional 4-Bedroom Villa for rent – Off Kiambu Road
 In a Private Gated Community of",KSh 250 000
2 Bedroom House,Karen,2,1,1 200 m²,"2 Bedroom Apartment for rent in Karen
Rent : Kes 45,000

Location : Bogani road
This",KSh 45 000
4 Bedroom House,Runda,4,4,1 acres,A rustic 4-bedroom bungalow in Runda with 1 acres of land perfect for someone who values,KSh 300 000
4 Bedroom House,Kyuna,4,4,0.5 acres,"- Fully renovated, modern bungalow with 4 en-suite bedrooms 
- Located in the secure and",KSh 520 000
4 Bedroom House,Karen,4,4,1 200 m²,"karen


Magnificent 4 bedroom rustic house plus a 2 bedroom guest wing to let in",KSh 450 000
3 Bedroom House,Karen,3,3,1 200 m²,"3 Bedroom Cottage For Rent in Karen
Rent : Kes 140,000
Lovely three bedroom cottage in",KSh 140 000
4 Bedroom House,Karen,4,4,1 200 m²,"4 BEDROOM BUNGALOW TO LET IN KAREN
RENT	: KES 140,000
Discover the epitome of elegant",KSh 140 000
4 Bedroom House,Karen,4,4,1 200 m²,"Features:
?All ensuite rooms 
?Walk-in closet for master
?spacious  lounge area",KSh 430 000
3 Bedroom House,Kileleshwa,3,3,2 100 m²,"3 bedroom apartment to rent in Kileleshwa (Kenya)
(KSH175,000) per month
Property",KSh 175 000
4 Bedroom House,Karen,4,4,2 100 m²,"Modern 4-Bedroom Villa for Rent in Karen – KES 400,000
Tucked away in the leafy and serene",KSh 400 000
5 Bedroom House,Kitisuru,5,5,0.5 acres,"5 Bed House with En Suite at Kitisuru

KITISURU

5-bedroom house with DSQ
Large living",KSh 580 000
6 Bedroom House,Karen,6,6,1 200 m²,"6 BEDROOM VILLA FOR RENT IN KAREN


RENT: KES 450,000


Modern 6 bedroom Villa for",KSh 450 000
